                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6134,                 3.8816,                  3.515,                0.30459,                0.38563,                0.27881,                0.11236,                 2.0842,                 2.3455,                 2.7551,             0.00013887,             0.00013887,             0.00013887
                      2,                 1.8988,                 2.5989,                 2.4726,                0.53577,                0.54421,                0.53408,                0.27467,                 1.6984,                 1.7761,                 2.1915,             0.00025036,             0.00025036,             0.00025036
                      3,                  1.625,                 1.9977,                 2.1042,                0.62822,                0.57745,                0.61639,                0.34575,                 1.5394,                  1.649,                 1.9657,             0.00033433,             0.00033433,             0.00033433
                      4,                 1.4947,                 1.6949,                 1.9342,                0.70821,                0.61939,                0.69302,                0.41438,                 1.4607,                 1.4532,                 1.8489,             0.00029315,             0.00029315,             0.00029315
                      5,                  1.407,                 1.5238,                 1.8279,                0.74377,                0.63563,                0.71731,                0.44018,                 1.3857,                 1.3377,                 1.7688,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.3406,                 1.4136,                 1.7456,                0.73035,                0.66954,                0.73614,                0.45563,                 1.3598,                 1.2672,                 1.7186,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.2876,                 1.3292,                 1.6888,                0.75932,                0.67305,                0.75145,                0.47982,                 1.2889,                 1.2295,                  1.652,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.2466,                 1.2698,                 1.6462,                0.75836,                0.69405,                 0.7669,                0.49528,                 1.2743,                 1.1871,                 1.6314,             0.00012802,             0.00012802,             0.00012802
                      9,                 1.2056,                 1.2051,                 1.6052,                0.76785,                0.69766,                0.77391,                0.50526,                 1.2504,                 1.1558,                 1.6086,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     10,                 1.1808,                 1.1686,                 1.5847,                0.77938,                 0.7012,                0.78305,                0.51795,                 1.2394,                 1.1312,                 1.5964,             4.5453e-05,             4.5453e-05,             4.5453e-05
