                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9751,                 4.9366,                 3.8342,                 0.0048,                0.33251,                0.00929,                0.00315,                 2.6671,                 3.7829,                 3.3487,             0.00013887,             0.00013887,             0.00013887
                      2,                 2.3366,                 4.1129,                 2.8958,                0.50067,                0.09017,                0.03692,                0.01512,                 2.1979,                 3.4613,                 2.7227,             0.00025036,             0.00025036,             0.00025036
                      3,                 2.0267,                  3.489,                 2.5245,                0.35292,                0.10575,                0.08093,                0.03652,                 1.9823,                 3.0886,                 2.4705,             0.00033433,             0.00033433,             0.00033433
                      4,                 1.8867,                 3.1829,                 2.3584,                0.23491,                0.17514,                0.11334,                0.05473,                 1.8847,                 2.8749,                 2.3154,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.7861,                  2.964,                  2.247,                0.34983,                0.19768,                0.16208,                0.08399,                 1.7732,                 2.6651,                 2.2172,             0.00025187,             0.00025187,             0.00025187
                      6,                  1.713,                 2.7886,                 2.1685,                0.29881,                0.23173,                0.18656,                0.09979,                 1.7369,                 2.5941,                 2.1671,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.6682,                   2.68,                 2.1124,                 0.3661,                0.29047,                0.24041,                0.13287,                 1.6484,                  2.403,                 2.0772,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.6223,                 2.5728,                 2.0625,                  0.386,                0.30782,                0.26701,                0.15189,                 1.6144,                 2.2932,                 2.0464,             0.00012802,             0.00012802,             0.00012802
                      9,                 1.5881,                 2.4935,                 2.0311,                 0.3846,                0.31411,                0.29005,                0.16623,                 1.5891,                 2.2507,                  2.021,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     10,                 1.5601,                 2.4312,                 2.0044,                0.41406,                0.32896,                0.30636,                0.17901,                 1.5715,                 2.1879,                 1.9942,             4.5453e-05,             4.5453e-05,             4.5453e-05
