                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6757,                 3.4326,                 3.4095,                0.38748,                 0.4484,                0.37707,                0.15537,                 1.9667,                 2.1996,                 2.5803,             0.00013887,             0.00013887,             0.00013887
                      2,                 1.7698,                 2.2177,                 2.2082,                0.60492,                 0.5807,                0.60599,                0.31295,                 1.6292,                 1.6478,                 2.0901,              0.0002687,              0.0002687,              0.0002687
                      3,                 1.5478,                 1.8471,                 1.9066,                0.65064,                0.62435,                0.65724,                0.37057,                  1.521,                 1.4996,                  1.895,             0.00038935,             0.00038935,             0.00038935
                      4,                 1.4324,                 1.6486,                 1.7645,                 0.6868,                0.62731,                0.68335,                0.39649,                 1.4277,                 1.4201,                 1.7837,             0.00037572,             0.00037572,             0.00037572
                      5,                 1.3604,                 1.5153,                  1.688,                0.69852,                0.66458,                0.71238,                0.43128,                 1.3641,                 1.3045,                 1.7069,             0.00036196,             0.00036196,             0.00036196
                      6,                 1.3118,                 1.4502,                 1.6354,                0.71287,                0.68398,                0.73416,                0.45587,                 1.3183,                 1.2749,                 1.6573,              0.0003482,              0.0003482,              0.0003482
                      7,                 1.2722,                 1.3793,                  1.592,                0.70415,                  0.682,                0.73333,                0.46262,                 1.2845,                 1.2388,                 1.6173,             0.00033443,             0.00033443,             0.00033443
                      8,                 1.2404,                 1.3446,                 1.5633,                0.73036,                0.69932,                0.75253,                0.47881,                 1.2604,                 1.1803,                 1.5842,             0.00032067,             0.00032067,             0.00032067
                      9,                 1.2145,                 1.3013,                 1.5394,                0.72529,                0.70677,                0.75914,                0.49008,                 1.2395,                 1.1645,                 1.5495,             0.00030691,             0.00030691,             0.00030691
                     10,                 1.1932,                 1.2753,                 1.5177,                0.75242,                0.71324,                0.76968,                0.50368,                 1.2255,                 1.0932,                 1.5308,             0.00029315,             0.00029315,             0.00029315
                     11,                 1.1748,                 1.2405,                 1.4984,                0.74871,                0.71517,                 0.7715,                0.50714,                 1.2065,                 1.1065,                 1.5192,             0.00027939,             0.00027939,             0.00027939
                     12,                 1.1565,                 1.2192,                 1.4862,                0.76065,                0.72169,                0.77884,                0.51533,                 1.1879,                 1.0764,                 1.4987,             0.00026563,             0.00026563,             0.00026563
                     13,                 1.1362,                 1.1885,                 1.4642,                0.76641,                0.72488,                0.79052,                 0.5281,                 1.1838,                 1.0428,                 1.4836,             0.00025187,             0.00025187,             0.00025187
                     14,                 1.1231,                 1.1663,                 1.4539,                0.76636,                0.72028,                0.78938,                0.52954,                 1.1719,                  1.046,                   1.48,             0.00023811,             0.00023811,             0.00023811
                     15,                 1.1049,                 1.1514,                 1.4404,                0.77988,                0.73155,                0.79873,                0.53767,                 1.1611,                 1.0126,                 1.4658,             0.00022435,             0.00022435,             0.00022435
                     16,                 1.0974,                 1.1354,                 1.4325,                0.77197,                0.73591,                0.79617,                0.54017,                  1.155,                 1.0246,                 1.4583,             0.00021059,             0.00021059,             0.00021059
                     17,                 1.0838,                 1.1112,                 1.4195,                0.79217,                0.73294,                0.80679,                0.55132,                 1.1386,                0.98682,                 1.4444,             0.00019682,             0.00019682,             0.00019682
                     18,                 1.0696,                 1.0957,                 1.4095,                 0.7895,                0.72701,                0.80388,                0.54907,                  1.134,                0.99496,                 1.4405,             0.00018306,             0.00018306,             0.00018306
                     19,                 1.0594,                 1.0866,                 1.4001,                0.79362,                0.73671,                0.80956,                0.55431,                 1.1261,                0.98136,                 1.4329,              0.0001693,              0.0001693,              0.0001693
                     20,                 1.0549,                  1.071,                  1.395,                0.79079,                0.73418,                0.80944,                0.55562,                 1.1212,                0.98179,                 1.4274,             0.00015554,             0.00015554,             0.00015554
                     21,                 1.0307,                 0.9503,                 1.3947,                0.79736,                0.74581,                0.81554,                0.56643,                 1.1064,                0.95347,                 1.4144,             0.00014178,             0.00014178,             0.00014178
                     22,                 1.0119,                0.92201,                 1.3758,                0.81109,                0.74614,                0.81944,                0.57217,                 1.1001,                0.94153,                 1.4066,             0.00012802,             0.00012802,             0.00012802
                     23,                0.99593,                0.89886,                 1.3572,                0.80823,                0.74095,                0.82015,                0.57333,                 1.0948,                0.93136,                 1.3979,             0.00011426,             0.00011426,             0.00011426
                     24,                0.98133,                0.87749,                 1.3453,                 0.8198,                0.74253,                0.82405,                0.57857,                 1.0925,                0.92506,                 1.3963,              0.0001005,              0.0001005,              0.0001005
                     25,                0.96756,                0.86474,                 1.3365,                0.81528,                0.74636,                0.82392,                0.57844,                 1.0921,                0.91283,                 1.3949,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     26,                0.95962,                 0.8493,                 1.3296,                0.80711,                0.75334,                 0.8246,                0.57875,                 1.0897,                0.91224,                 1.3931,             7.2975e-05,             7.2975e-05,             7.2975e-05
                     27,                0.94914,                0.83953,                  1.317,                0.81024,                0.75509,                0.82526,                0.58119,                 1.0884,                 0.9073,                 1.3912,             5.9214e-05,             5.9214e-05,             5.9214e-05
                     28,                0.93694,                 0.8256,                 1.3106,                0.81236,                0.75165,                0.82433,                0.58044,                 1.0905,                0.90686,                 1.3938,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     29,                0.92738,                0.81046,                 1.3033,                0.80934,                0.75296,                0.82477,                0.58253,                 1.0876,                 0.9034,                 1.3904,             3.1692e-05,             3.1692e-05,             3.1692e-05
                     30,                0.92128,                0.80599,                 1.2984,                0.81618,                0.75131,                0.82598,                0.58347,                  1.088,                0.90102,                 1.3917,             1.7931e-05,             1.7931e-05,             1.7931e-05
